dim,k,Var3,r,steps,integral,a_1,a_2,a_3,a_4,a_5,a_6,a_7,u_1,u_2,u_3,u_4,u_5,u_6,u_7
7,1,cont,1,15,0.0248840734677907,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,2,cont,1,113,0.0307905365091203,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,3,cont,1,589,0.0301439247010292,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,4,cont,1,2465,0.0304586019565564,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,5,cont,1,9017,0.0306054197746191,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,6,cont,1,30241,0.0304774330214835,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,7,cont,1,95441,0.0305084448497925,1.59765544639734,1.81912515758222,2.17217941254975,1.63124312995663,1.29471689500882,2.98305855075564,1.21498648763439,0.812272382178224,0.666829160039589,0.381783083914011,0.718808964344897,0.418627894303215,0.0559327094009257,0.584999660582087
7,1,cont,2,15,0.0232020764160059,1.3757972372189,1.43099125749722,1.97061379072852,1.43900147461071,2.87374509672456,1.55524927247096,2.90620707716396,0.334256834168659,0.0379589602640042,0.922406597999313,0.373141767132931,0.989160720830219,0.543456031093595,0.563316516800312
7,2,cont,2,113,0.0170368114079424,1.3757972372189,1.43099125749722,1.97061379072852,1.43900147461071,2.87374509672456,1.55524927247096,2.90620707716396,0.334256834168659,0.0379589602640042,0.922406597999313,0.373141767132931,0.989160720830219,0.543456031093595,0.563316516800312
7,3,cont,2,589,0.0164535408487915,1.3757972372189,1.43099125749722,1.97061379072852,1.43900147461071,2.87374509672456,1.55524927247096,2.90620707716396,0.334256834168659,0.0379589602640042,0.922406597999313,0.373141767132931,0.989160720830219,0.543456031093595,0.563316516800312
